hedId	rdfs:label	Level	omn:SubClassOf	Attributes	dc:description
HED_0042001	Modulator	0	HedTag		"External stimuli / interventions or changes in the alertness level (sleep) that modify: the background activity, or how often a graphoelement is occurring, or change other features of the graphoelement (like intra-burst frequency). For each observed feature, there is an option of specifying how they are influenced by the modulators and procedures that were done during the recording."
HED_0042002	Sleep-modulator	1	Modulator	"suggestedTag=Drowsy, annotation=dc:source Beniczky ea 2017 Section 7 and Table 2"	"When sleep/drowsiness features are scored during drowsiness, Drowsy should be listed as a modulator "
HED_0042003	Sleep-deprivation	2	Sleep-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042004	Sleep-deprivation-#	3	Sleep-deprivation	"takesValue, valueClass=textClass"	Free text.
HED_0042005	Sleep-following-sleep-deprivation	2	Sleep-modulator	annotation=dc:source: Beniczky ea 2017 Table 2.	
HED_0042006	Sleep-following-sleep-deprivation-#	3	Sleep-following-sleep-deprivation	"takesValue, valueClass=textClass"	Free text.
HED_0042007	Natural-sleep	2	Sleep-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042008	Natural-sleep-#	3	Natural-sleep	"takesValue, valueClass=textClass"	Free text.
HED_0042009	Induced-sleep	2	Sleep-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042010	Induced-sleep-#	3	Induced-sleep	"takesValue, valueClass=textClass"	Free text.
HED_0042011	Awakening	2	Sleep-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042012	Awakening-#	3	Awakening	"takesValue, valueClass=textClass"	Free text.
HED_0042013	Medication-modulator	1	Modulator		
HED_0042014	Medication-administered-during-recording	2	Medication-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042015	Medication-administered-during-recording-#	3	Medication-administered-during-recording	"takesValue, valueClass=textClass"	Free text.
HED_0042016	Medication-withdrawal-or-reduction-during-recording	2	Medication-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042017	Medication-withdrawal-or-reduction-during-recording-#	3	Medication-withdrawal-or-reduction-during-recording	"takesValue, valueClass=textClass"	Free text.
HED_0042018	Eye-modulator	1	Modulator		
HED_0042019	Manual-eye-closure	2	Eye-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042020	Manual-eye-closure-#	3	Manual-eye-closure	"takesValue, valueClass=textClass"	Free text.
HED_0042021	Manual-eye-opening	2	Eye-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042022	Manual-eye-opening-#	3	Manual-eye-opening	"takesValue, valueClass=textClass"	Free text.
HED_0042023	Stimulation-modulator	1	Modulator		
HED_0042024	Intermittent-photic-stimulation	2	Stimulation-modulator	"suggestedTag=Intermittent-photic-stimulation-effect, annotation=dc:source Beniczky ea 2017 Table 2."	
HED_0042025	Intermittent-photic-stimulation-#	3	Intermittent-photic-stimulation	"takesValue, valueClass=numericClass, unitClass=frequencyUnits"	
HED_0042026	Auditory-stimulation	2	Stimulation-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042027	Auditory-stimulation-#	3	Auditory-stimulation	"takesValue, valueClass=textClass"	Free text.
HED_0042028	Nociceptive-stimulation	2	Stimulation-modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042029	Nociceptive-stimulation-#	3	Nociceptive-stimulation	"takesValue, valueClass=textClass"	Free text.
HED_0042030	Hyperventilation	1	Modulator	annotation=dc:source Beniczky ea 2017 Table 2.	"When selecting hyperventilation from the list, the user is prompted to score the quality of the hyperventilation (excellent effort, good effort, poor effort, refused the procedure, unable to do the procedure)."
HED_0042031	Hyperventilation-refused-procedure	2	Hyperventilation		
HED_0042032	Hyperventilation-refused-procedure-#	3	Hyperventilation-refused-procedure	"takesValue, valueClass=textClass"	Free text.
HED_0042033	Hyperventilation-poor-effort	2	Hyperventilation		
HED_0042034	Hyperventilation-poor-effort-#	3	Hyperventilation-poor-effort	"takesValue, valueClass=textClass"	Free text.
HED_0042035	Hyperventilation-good-effort	2	Hyperventilation		
HED_0042036	Hyperventilation-good-effort-#	3	Hyperventilation-good-effort	"takesValue, valueClass=textClass"	Free text.
HED_0042037	Hyperventilation-excellent-effort	2	Hyperventilation		
HED_0042038	Hyperventilation-excellent-effort-#	3	Hyperventilation-excellent-effort	"takesValue, valueClass=textClass"	Free text.
HED_0042039	Physical-effort	1	Modulator	annotation=dc:source Beniczky ea 2017 Table 2.	
HED_0042040	Physical-effort-#	2	Physical-effort	"takesValue, valueClass=textClass"	Free text.
HED_0042041	Cognitive-task	1	Modulator	annotation=dc:source Beniczky ea 2017 Table 2.	"Source: Beniczky ea 2017, Table 2."
HED_0042042	Cognitive-task-#	2	Cognitive-task	"takesValue, valueClass=textClass"	Free text.
HED_0042043	Other-modulator-or-procedure	1	Modulator	"requireChild, annotation=dc:source Beniczky ea 2017  Table 2."	Free text describing other modulators or procedures. 
HED_0042044	Other-modulator-or-procedure-#	2	Other-modulator-or-procedure	"takesValue, valueClass=textClass"	Free text.
